ID,ham_or_spam
1515580207_2861,0.0
1515580209_6512,0.0
1515580211_7304,0.0
1515580214_6546,0.0
1515580216_4152,0.0
1515580218_5069,0.0
1515580220_5381,0.0
1515580222_7381,0.0
1515580225_6540,0.0
1515580227_5849,0.0
1515580229_3482,0.0
1515580232_7999,0.0
1515580234_8884,0.0
1515580236_7717,0.0
1515580238_6806,0.0
1515580241_1481,0.0
1515580243_4861,0.0
1515580245_9969,0.0
1515580247_7159,0.0
1515580249_5750,0.0
1515580252_2045,0.0
1515580254_4405,0.0
1515580256_2971,0.0
1515580258_3981,0.0
1515580260_1216,0.0
1515580263_5976,0.0
1515580265_7884,0.0
1515580267_5683,0.0
1515580269_7213,0.0
1515580272_1288,0.0
1515580274_3242,0.0
1515580276_1905,0.0
1515580278_3408,0.0
1515580281_8955,0.0
1515580283_6839,0.0
1515580285_1189,0.0
1515580287_7538,0.0
1515580290_7443,0.0
1515580292_9185,0.0
1515580294_7510,0.0
1515580296_4425,0.0
1515580298_3186,0.0
1515580301_1362,0.0
1515580303_6210,0.0
1515580305_3697,0.0
1515580308_4111,0.0
1515580311_3655,0.0
1515580313_2258,0.0
1515580315_8677,0.0
1515580317_2563,0.0
1515580319_2975,0.0
1515580322_5403,0.0
1515580324_8225,0.0
1515580326_6448,0.0
1515580330_7906,0.0
1515580332_4002,0.0
1515580334_9538,0.0
1515580338_8934,0.0
1515580340_9047,0.0
1515580342_4336,0.0
1515580343_2593,0.0
1515580345_4046,0.0
1515580348_2405,0.0
1515580350_2742,0.0
1515580353_6675,0.0
1515580355_1270,0.0
1515580357_2088,0.0
1515580361_9646,0.0
1515580986_6104,0.0
1515580988_8479,0.0
1515580990_7260,0.0
1515580992_5978,0.0
1515580994_7205,0.0
1515580996_7230,0.0
1515580998_6510,0.0
1515581000_6281,0.0
1515581002_1703,0.0
1515581005_4225,0.0
1515581007_4254,0.0
1515581009_3809,0.0
1515581011_1801,0.0
1515581013_1717,0.0
1515581015_6694,0.0
1515581017_3197,0.0
1515581020_3735,0.0
1515581022_2628,0.0
1515581024_5962,0.0
1515581025_2904,0.0
1515581026_2918,0.0
1515581027_1733,0.0
1515581028_7515,0.0
1515581029_2854,0.0
1515581030_5305,0.0
1515581031_3034,0.0
1515581032_9140,0.0
1515581033_1092,0.0
1515581034_8472,0.0
1515581035_4659,0.0
1515581036_4075,0.0
1515581037_1568,0.0
1515581038_5230,0.0
1515581039_2503,0.0
1515581040_3628,0.0
1515581041_3150,0.0
1515581042_9409,0.0
1515581044_5487,0.0
1515581044_6704,0.0
1515581045_3271,0.0
1515581046_7456,0.0
1515581047_3809,0.0
1515581048_7096,0.0
1515581049_3820,0.0
1515581050_1618,0.0
1515581052_8091,0.0
1515581053_7771,0.0
1515581054_6119,0.0
1515581055_5014,0.0
1515581056_9200,0.0
1515581057_8976,0.0
1515581058_1672,0.0
1515581059_1241,0.0
1515581060_5273,0.0
1515581061_8434,0.0
1515581062_2895,0.0
1515581063_6562,0.0
1515581064_1184,0.0
1515581065_4140,0.0
1515581067_2212,0.0
1515581067_9732,0.0
1515581069_2764,0.0
1515581070_7663,0.0
1515581071_2113,0.0
1515581072_8383,0.0
1515581073_6886,0.0
1515581074_3495,0.0
1515581075_5259,0.0
1515581076_6809,0.0
1515581077_6985,0.0
1515581078_8876,0.0
1515581079_1362,0.0
1515581081_5889,0.0
1515581082_4560,0.0
1515581083_8741,0.0
1515581084_9982,0.0
1515581085_6035,0.0
1515581086_5857,0.0
1515581087_8866,0.0
1515581088_4028,0.0
1515581089_2358,0.0
1515581090_9757,0.0
1515581091_6985,0.0
1515581092_9095,0.0
1515581093_7829,0.0
1515581095_6507,0.0
1515581095_8232,0.0
1515581097_5472,0.0
1515581098_8556,0.0
1515581099_7743,0.0
1515581100_1285,0.0
1515581101_7353,0.0
1515581103_1646,0.0
1515581103_2024,0.0
1515581105_4724,0.0
1515581105_6161,0.0
1515581108_8532,0.0
1515581108_9706,0.0
1515581110_1654,0.0
1515581110_6618,0.0
1515581112_3157,0.0
1515581112_6937,0.0
1515581114_6143,0.0
1515581114_9247,0.0
1515581116_3060,0.0
1515581116_4983,0.0
1515581118_9709,0.0
1515581119_4958,0.0
1515581120_6905,0.0
1515581121_4222,0.0
1515581123_3316,0.0
1515581123_3746,0.0
1515581125_4251,0.0
1515581125_4409,0.0
1515581127_9269,0.0
1515581127_9936,0.0
1515581129_3329,0.0
1515581129_5982,0.0
1515581131_7581,0.0
1515581132_2950,0.0
1515581134_4137,0.0
1515581134_4857,0.0
1515581136_2393,0.0
1515581136_9548,0.0
1515581139_3114,0.0
